S.No,Restaurant Name,Category,Item,Price
1,Grill Craft Co.,Pizza,Flamin Hot Jalapeno (Flambeed with Dark Rum),420
,Grill Craft Co.,Pizza,Kheema Do Pyaaza,440
,Grill Craft Co.,Pizza,Cheese Burst Pepperoni,460
,Grill Craft Co.,Veg Kababs,Kalimiri Parmesan Tikka,460
,Grill Craft Co.,Main Course,Grilled Paneer Steak Sizzler,690
,Grill Craft Co.,Main Course,Grilled Vegetable Khaosuey,660
,Grill Craft Co.,Raan,Oriental Roast Raan,2480
,Grill Craft Co.,Main Course (Non-Veg),Afghani Raan Masala,2850
,Grill Craft Co.,Main Course (Non-Veg),Moghlai Reshmi Raan Dum Masala,2780
,Grill Craft Co.,Main Course (Chicken),GCC Grilled Chicken in Saffron Infused Moghlai Almond Curry,1280
2,The Mykonos,Salad,Caesar Salad,295
,The Mykonos,Salad,Arugula & Burrata Cheese,375
,The Mykonos,Soup,Sweet Corn Soup,195
,The Mykonos,Soup,Cheese & Broccoli Dim Sum Soup,275
,The Mykonos,Crispy Fries,Cheese Jalapeno Poppers,325
,The Mykonos,Dim Sum,Broccoli & Cheese Dim Sum (4 pcs),295
,The Mykonos,Sushi,Assorted Sushi Boat (20 pcs),1500
,The Mykonos,Freak Shakes,Naughty Nutella,275
,The Mykonos,Smoothies,Bohut Berry Blue,310
,The Mykonos,Latte Iced,Iced Vanilla Latte,250
3,Hunger Wolf,Pizza,Veg Double Burst Pizza,225
,Hunger Wolf,Pizza,Paneer Barbeque Pizza,205
,Hunger Wolf,Tandoor & Kebab,Veg Platter (20 Pcs),465
,Hunger Wolf,Tandoor & Kebab,Sunehari Lasooni Paneer Tikka,205
,Hunger Wolf,Indian Starters,Paneer Koliwada (6 pcs),175
,Hunger Wolf,Chinese Starters,Veg 65,195
,Hunger Wolf,Pasta,Penne Pasta Veg (White Sauce),180
,Hunger Wolf,Shawarma,Veg Open Shawarma,85
,Hunger Wolf,Momos,Paneer Fried Tossed Schezwan Momos,145
,Hunger Wolf,Burger,Double Layer Veg Cheese Burger,140
,Hunger Wolf,Burger,Double Layer Veg Cheese Burger,140
4,Café Nirvana,Pizza,Cheese Burst Pizza,₹ 210
,Café Nirvana,Pizza,Tandoori Paneer Pizza,₹ 210
,Café Nirvana,Pasta,Alfredo Pasta (White Sauce),₹ 200
,Café Nirvana,Pasta,Arrabiata Pasta (Red Sauce),₹ 200
,Café Nirvana,Pizza,Mixed Veg Pizza,₹ 190
,Café Nirvana,Pasta,Spaghetti alla Puttanesca,₹ 190
,Café Nirvana,Fries,Fries Supreme,₹ 170
,Café Nirvana,Nachos,Nachos Supreme,₹ 170
,Café Nirvana,Dessert,Nirvana Special,₹ 250
,Café Nirvana,Chef's Special,Lasagne,₹ 300
,Café Nirvana,Chef's Special,Lasagne,₹ 300
5,Cream Stone,Ice Cream Cake,Oreo Cake,₹ 850
,Cream Stone,Ice Cream Cake,Black Forest Cake,₹ 850
,Cream Stone,Hot Sundae Fudge,Choco Lava,₹ 225
,Cream Stone,Hot Sundae Fudge,Sizzling Brownie,₹ 225
,Cream Stone,Hot Sundae Fudge,Nutty Death by Chocolate,₹ 220
,Cream Stone,Make Your Own Concept,Any 2 Scoops + 5 Toppings,₹ 215
,Cream Stone,Hot Sundae Fudge,Chocolate Overdose,₹ 215
,Cream Stone,Happiness In A Jar,Nutella Crunch,₹ 189
,Cream Stone,Happiness In A Jar,Dark Trouble,₹ 189
,Cream Stone,Nutella Special,Nutella Fudge Cake,₹ 180
,,,,
,,,,
